epoch,precision,recall,f1_score,mAP50,mAP50_95,train_box_loss,val_box_loss,train_cls_loss,val_cls_loss
1,0.24785,0.37774,0.29931059954613876,0.23103,0.12664,1.44395,1.78465,2.58653,3.84685
2,0.49013,0.46162,0.47544798650113496,0.44374,0.28998,1.31954,1.4107,1.6874,2.72711
3,0.82412,0.56798,0.6724857087369811,0.67329,0.44271,1.26881,1.43744,1.46139,1.96205
4,0.60939,0.61259,0.6109858100287251,0.60845,0.35777,1.30541,1.38133,1.51977,1.85826
5,0.67919,0.68366,0.6814176693927125,0.65222,0.41235,1.31644,1.4817,1.46742,2.31282
6,0.80865,0.62939,0.7078471022566933,0.68429,0.44315,1.28124,1.37425,1.42099,1.81915
7,0.76645,0.69298,0.7278657023133781,0.7121,0.46766,1.25992,1.26221,1.35688,1.59495
8,0.80823,0.6557,0.7240187863679262,0.72976,0.45253,1.22656,1.38991,1.36537,1.69885
9,0.80687,0.74671,0.7756251981374872,0.78359,0.54682,1.23147,1.31499,1.33237,1.67165
10,0.84168,0.68463,0.7550751529666269,0.77428,0.53369,1.19121,1.29455,1.26244,1.53585
11,0.874,0.69531,0.7744817021000004,0.78522,0.54888,1.19314,1.23688,1.22366,1.45127
12,0.82197,0.72508,0.7704909441342884,0.77412,0.55554,1.20435,1.2808,1.23782,1.49189
13,0.82795,0.71114,0.7651123234661318,0.7462,0.49209,1.1701,1.26901,1.17694,1.48822
14,0.78497,0.66886,0.7222784426843387,0.7381,0.47228,1.16849,1.25296,1.20829,1.63831
15,0.89285,0.7043,0.7874454559191406,0.76857,0.53326,1.15101,1.25989,1.18452,1.49758
16,0.8693,0.73055,0.793908322605625,0.79011,0.55146,1.13904,1.23496,1.12874,1.45071
17,0.88961,0.71519,0.7929214554590652,0.80367,0.55294,1.1159,1.14475,1.10285,1.37797
18,0.89889,0.69518,0.7840187070339434,0.7616,0.48387,1.13994,1.26304,1.12682,1.51064
19,0.85801,0.74616,0.7981856555852443,0.78583,0.52993,1.14177,1.22871,1.14896,1.39875
20,0.79303,0.78023,0.7865779297263912,0.80087,0.5729,1.10362,1.17341,1.0905,1.28597
21,0.82841,0.76809,0.7971104752397676,0.79171,0.52744,1.13075,1.22215,1.12402,1.38147
22,0.82843,0.73505,0.7789514051488378,0.80238,0.55193,1.08475,1.1481,1.06396,1.37851
23,0.83374,0.73595,0.7817988939993374,0.78889,0.56242,1.06985,1.13947,1.00461,1.29858
24,0.82211,0.7197,0.7675038648881832,0.78164,0.56208,1.06583,1.22937,1.03685,1.42138
25,0.87285,0.67096,0.7587040321828007,0.78717,0.54857,1.09158,1.20467,1.08523,1.41365
26,0.84079,0.68874,0.7572073833950818,0.75923,0.55129,1.07017,1.14792,1.02688,1.36312
27,0.86011,0.74452,0.7981517199106242,0.79578,0.58724,1.06026,1.20069,1.01845,1.38102
28,0.82231,0.77298,0.7968823019766387,0.77864,0.54171,1.01366,1.13546,0.96753,1.54025
29,0.75228,0.75877,0.7555110625885634,0.76666,0.53797,1.0142,1.16393,0.98343,1.34479
30,0.77015,0.71375,0.7408781757031554,0.77569,0.5615,1.0306,1.19099,0.98124,1.51383
31,0.86571,0.76515,0.8123296990046768,0.81714,0.5657,1.02768,1.20737,0.96,1.32793
32,0.90385,0.76713,0.8298967677153588,0.82028,0.58223,0.9745,1.16281,0.9299,1.30128
33,0.85692,0.73987,0.7941049234530463,0.82138,0.5931,1.00783,1.14722,0.91145,1.32334
34,0.90761,0.79074,0.8451538626993758,0.80875,0.59085,0.98848,1.15344,0.92502,1.32468
35,0.90015,0.73743,0.8107055709760315,0.81705,0.57636,1.00082,1.10465,0.90178,1.20287
36,0.88582,0.78838,0.8342644505534427,0.82528,0.57842,0.96672,1.14584,0.90202,1.30153
37,0.89645,0.74068,0.8111543810930619,0.81505,0.57826,0.95763,1.12431,0.88576,1.1796
38,0.90417,0.77427,0.8341933055197568,0.82002,0.5932,1.00436,1.1358,0.9247,1.32895
39,0.87084,0.80702,0.8377162537495549,0.82613,0.58156,1.01967,1.10892,0.92906,1.21897
40,0.80517,0.8221,0.8135469306990514,0.82048,0.58854,0.94897,1.09047,0.88024,1.18767
41,0.93905,0.76809,0.8450096822261204,0.82927,0.62357,0.9818,1.10132,0.89215,1.20533
42,0.8552,0.8173,0.8358205799201304,0.82268,0.60794,0.96139,1.09616,0.90684,1.16748
43,0.82999,0.81031,0.8200319415460569,0.81077,0.57494,0.93457,1.07836,0.83769,1.10865
44,0.81232,0.78125,0.7964821124395863,0.77576,0.551,0.97147,1.10907,0.88971,1.22702
45,0.87006,0.74726,0.8039980159273367,0.78706,0.54502,0.91407,1.14413,0.81412,1.28909
46,0.8293,0.7423,0.783391944465297,0.79933,0.56366,0.91672,1.11318,0.82014,1.25541
47,0.80929,0.77617,0.7923840642594335,0.79228,0.5594,0.94164,1.10237,0.83979,1.31482
48,0.91664,0.75026,0.8251464711245339,0.81446,0.58843,0.94878,1.09127,0.85445,1.24502
49,0.89567,0.80387,0.8472907290886186,0.84029,0.62071,0.91809,1.07095,0.82919,1.13694
50,0.87039,0.81031,0.8392761597644269,0.83117,0.60731,0.93175,1.06253,0.80763,1.15596
51,0.87241,0.80407,0.8368470946962178,0.83286,0.61248,0.91104,1.07342,0.80642,1.19175
52,0.87973,0.76276,0.817079988017152,0.8016,0.60394,0.91305,1.05246,0.80969,1.16216
53,0.89638,0.77179,0.8294323961688898,0.80949,0.58172,0.89189,1.08749,0.78726,1.1405
54,0.90985,0.77796,0.8387518807899732,0.83227,0.59802,0.8835,1.0727,0.75551,1.14053
55,0.87314,0.79228,0.8307470297684219,0.81486,0.60184,0.90628,1.09728,0.81286,1.18968
56,0.85843,0.78125,0.8180235624745058,0.80532,0.57203,0.88098,1.05667,0.76484,1.11879
57,0.87646,0.79597,0.8342781057004313,0.80958,0.60203,0.86982,1.03271,0.74745,1.15376
58,0.89573,0.80044,0.8454083271815085,0.82333,0.59694,0.87099,1.04126,0.76456,1.10366
59,0.89717,0.78308,0.8362516096511678,0.8071,0.61119,0.84988,1.08986,0.74015,1.18093
60,0.86002,0.79086,0.8239913466258002,0.79693,0.58857,0.85271,1.09576,0.72529,1.14939
61,0.86793,0.82564,0.8462569898589218,0.84144,0.61598,0.85501,1.04121,0.75223,1.09986
